survey,gender,age,age_num,marital_status,no_kids,education,income,US_census_region,US_census_division,community,distance_from_coast,political2,Q4_fish_hunt,Q4_fishing,Q4_hunting,Q4_none,Q4_total,Q7_impact_me,Q8_ocean_need_cons,Q8_fw_need_cons,Q8_land_need_cons,Q8_total_need,Q10_animal_health,Q11_habitat_health,Q13_concern_both,Q14_voted,Q14_donated,Q15_voting_effective,Q15_donation_effective,Q16_participate,Q18_aware_org,Q20.protect_area,Q20.captive_breed_reintroduce,Q20.relocate,Q20.enforcement,Q20.education,Q20.supplament_fishing,Q21_fund_source_penalties,Q21_fund_source_partnerships,Q21_fund_source_market
Ocean,female,25 - 34,31,living_with_partner,0,university,low,Midwest,East_North_Central,Suburban,4,Left,Both,1,1,0,4,0,0.7,1,0.53,0.67,0.6,0.6,0.8,0,1,0.6,0.8,1,0,1,0.8,1,1,1,0.8,1,0,0
Ocean,female,25 - 34,36,married,3,university,middle,Midwest,East_North_Central,Rural,5,Left,Fish,1,0,0,2,0.8,0.7,0.8,0.67,0.7,0.6,0.4,0.8,0,0,0.6,0.6,0,0,1,0.8,0.6,0.8,1,0.8,1,1,1
Ocean,female,35 - 44,43,single,0,high_school,low,South,South_Atlantic,Urban,4,Left,None,0,0,0,1,0.1,0.7,0.8,0.6,0.67,0.2,0.4,0.6,0,0,0.6,0.2,0,0,0.6,0.4,0.2,0.6,0.2,0.8,0,0,0
Ocean,male,35 - 44,45,married,1,postgraduate,middle,Northeast,Middle_Atlantic,Urban,2,Right,None,0,0,1,0,0.6,0.7,0.8,0.67,0.7,0.6,0.6,0.6,0,0,0.4,0.6,0,0,0.8,1,0.6,1,0.8,0.8,1,1,1
Ocean,female,25 - 34,36,living_with_partner,0,high_school,low,South,West_South_Central,Urban,5,wont_say,Fish,1,0,0,1,0.6,0.6,0.6,0.53,0.57,0.2,0.2,0.8,0,0,0.6,0.8,0,0,1,0.8,0.8,1,1,1,1,1,1
Ocean,female,35 - 44,39,separated,1,vocational_technical_college,low,South,South_Atlantic,Suburban,5,Moderate,Fish,1,0,0,3,0.5,1,1,1,1,0.4,0.4,0.8,0,0,1,1,0,0,1,1,1,1,1,0.8,1,1,0
Ocean,female,45 - 54,56,single,0,vocational_technical_college,low,Midwest,West_North_Central,Suburban,5,None,Fish,1,0,0,4,0.1,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0,0,0.6,0.6,0,0,0.6,0.6,0.6,0.6,0.6,0.6,1,0,0
Ocean,female,35 - 44,38,prefer_not_to_say,NA,postgraduate,wont_say,West,Mountain,Suburban,5,wont_say,None,0,0,0,1,0.8,0.8,1,0.87,0.87,0.6,0.4,0.8,1,0,0.8,0.8,0,0,0.8,0.6,0.6,1,1,0.8,1,1,0
Ocean,female,35 - 44,38,single,1,vocational_technical_college,low,South,East_South_Central,Rural,5,Left,None,0,0,0,2,1,1,1,1,1,0.4,0.4,1,0,1,1,1,1,1,1,1,0.8,0.8,1,0.8,0,1,0
Ocean,female,25 - 34,33,married,0,postgraduate,high,Midwest,East_North_Central,Suburban,5,Left,None,0,0,0,2,0.8,0.9,1,0.87,0.9,0.4,0.4,1,1,1,0.6,0.6,0,0,1,0.8,1,1,1,0.8,1,1,1
Ocean,female,54+,62,living_with_partner,0,high_school,low,West,Pacific,Urban,4,Left,None,0,0,1,0,0.6,1,1,0.93,0.97,0.6,0.6,0.8,0,0,1,0.8,0,1,1,0.8,0.6,0.8,1,1,1,0,0
Ocean,male,35 - 44,38,divorced,2,vocational_technical_college,low,Northeast,Middle_Atlantic,Suburban,5,Left,Fish,1,0,0,3,0.5,0.8,0.8,0.8,0.8,0.4,0.4,0.8,1,1,0.8,0.8,0,0,1,1,1,1,1,1,1,1,1
Ocean,male,25 - 34,31,single,5,high_school,low,South,South_Atlantic,Suburban,5,Right,Both,1,1,0,6,0.85,1,1,1,1,0.2,0.2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Ocean,female,45 - 54,49,living_with_partner,4,vocational_technical_college,low,Northeast,Middle_Atlantic,Rural,5,Left,Fish,1,0,0,3,0.35,0.9,0.8,0.8,0.83,0.2,0.2,0.6,0,0,0.8,0.6,0,0,1,1,1,1,0.8,1,0,1,0
Ocean,female,45 - 54,52,separated,4,high_school,low,West,Mountain,Rural,5,Moderate,None,0,0,1,0,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.6,0.6,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0
Ocean,female,18 - 24,23,married,NA,postgraduate,high,Midwest,West_North_Central,Suburban,4,Moderate,Both,1,1,0,4,0.15,0.5,0.6,0.53,0.53,1,0.6,0.2,0,0,0.4,0.8,1,1,0.4,0.4,0.2,0.6,1,0.2,1,1,1
Ocean,female,18 - 24,24,single,0,university,low,South,South_Atlantic,Suburban,5,Moderate,Both,1,1,0,6,0.7,0.8,0.8,0.87,0.83,0.6,0.6,0.6,1,1,0.6,0.6,1,1,0.8,0.6,0.6,0.6,0.6,0.6,0,0,1
Ocean,female,35 - 44,41,married,2,vocational_technical_college,middle,South,South_Atlantic,Urban,1,Left,Fish,1,0,0,5,1,1,1,1,1,0.6,0.6,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Ocean,female,54+,67,divorced,4,university,low,South,South_Atlantic,Urban,0,Right,Fish,1,0,0,3,0.4,0.8,0.6,0.47,0.6,0.4,0.4,0.8,1,0,0.8,0.8,1,0,1,1,1,1,1,0.6,1,1,0
Ocean,female,35 - 44,42,living_with_partner,1,university,middle,West,Pacific,Suburban,1,Left,None,0,0,0,2,1,1,1,1,1,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,1
Ocean,female,54+,60,married,1,postgraduate,high,South,South_Atlantic,Suburban,0,Left,None,0,0,0,3,1,1,1,1,1,0.4,0.2,1,1,1,0.8,0.8,1,1,1,1,1,1,1,0.6,1,1,1
Ocean,female,18 - 24,25,single,0,vocational_technical_college,middle,West,Pacific,Suburban,2,Moderate,None,0,0,1,0,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,0,0.6,0.6,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0,0,1
Ocean,male,18 - 24,24,single,0,high_school,low,South,South_Atlantic,Urban,4,Moderate,Fish,1,0,0,2,0.7,0.8,1,0.93,0.9,0.4,0.4,1,0,0,1,0.4,0,0,1,0.4,1,1,1,0.8,1,1,0
Ocean,female,25 - 34,33,single,0,university,low,Midwest,East_North_Central,Rural,5,Moderate,Fish,1,0,0,4,0.6,0.9,1,0.8,0.87,0.4,0.4,1,1,1,0.4,0.8,1,0,1,1,0.8,1,1,0.8,1,1,1
Ocean,male,18 - 24,25,single,0,high_school,high,West,Pacific,Suburban,2,Right,Fish,1,0,0,3,0.4,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0,0,0.6,0.8,0,0,1,0.8,0.6,0.8,0.8,1,0,1,0
Ocean,female,54+,61,single,0,postgraduate,middle,Northeast,Middle_Atlantic,Suburban,0,Moderate,None,0,0,0,2,0.2,0.6,0.6,0.6,0.6,0.4,0.4,0.8,1,0,0.6,0.6,0,1,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0
Ocean,male,45 - 54,56,married,0,high_school,middle,Northeast,Middle_Atlantic,Urban,5,Right,None,0,0,0,1,0.5,0.6,0.6,0.47,0.53,0.6,0.6,0.8,0,0,0.4,0.4,0,0,1,1,1,1,1,1,1,0,0
Ocean,female,18 - 24,23,living_with_partner,1,university,low,Midwest,East_North_Central,Urban,5,Left,None,0,0,0,2,0.55,0.7,1,0.67,0.73,0.2,0.2,1,0,1,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.8,0.8,1,0,0
Ocean,female,18 - 24,21,living_with_partner,0,high_school,wont_say,Midwest,East_North_Central,Rural,5,Left,None,0,0,0,1,0.2,0.8,1,0.6,0.73,0.2,0.2,1,0,0,0.6,0.6,0,0,1,0.8,1,1,0.8,0.6,0,0,0
Ocean,male,25 - 34,32,single,0,postgraduate,high,Northeast,Middle_Atlantic,Urban,4,Left,None,0,0,0,2,0.9,1,1,0.87,0.93,0.8,0.8,0.8,1,0,0.6,0.8,1,0,0.8,0.8,0.8,1,1,0.8,1,0,0
Ocean,male,18 - 24,25,living_with_partner,3,vocational_technical_college,high,Northeast,New_England,Urban,5,wont_say,None,0,0,1,0,0,1,0.8,0.4,0.67,0.4,1,0.8,0,0,0.2,0.8,0,0,0.6,0.6,1,1,1,1,0,1,0
Ocean,male,35 - 44,43,married,2,postgraduate,high,South,East_South_Central,Urban,1,Left,Both,1,1,0,6,0.55,0.9,1,0.87,0.9,0.4,0.2,1,1,0,1,1,1,1,0.8,1,1,1,1,0.8,1,1,1
Ocean,female,54+,66,single,0,high_school,low,Northeast,Middle_Atlantic,Rural,1,None,None,0,0,0,1,0.2,0.8,0.8,0.53,0.67,0.6,0.4,0.8,0,1,0.8,0.8,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0,1,0
Ocean,female,45 - 54,51,married,2,university,low,South,South_Atlantic,Suburban,5,None,None,0,0,1,0,0,0.6,0.6,0.53,0.57,0.6,0.6,0.8,0,0,0.6,0.8,0,0,1,0.6,0.6,0.8,0.8,0.6,0,1,0
Ocean,female,54+,58,divorced,0,university,middle,South,West_South_Central,Urban,5,wont_say,None,0,0,1,0,0.2,0.7,0.6,0.73,0.7,0.4,0.4,0.8,0,0,0.6,0.6,1,0,0.8,0.8,1,1,0.4,0.6,1,1,1
Ocean,male,35 - 44,44,married,4,university,middle,Northeast,Middle_Atlantic,Urban,4,Moderate,Both,1,1,0,6,0.75,0.7,0.6,0.67,0.67,0.8,1,0.8,1,1,1,1,0,0,0.8,0.8,0.6,0.8,1,0.6,1,1,1
Ocean,female,45 - 54,51,married,1,university,wont_say,Northeast,Middle_Atlantic,Suburban,2,Left,None,0,0,0,1,0.25,0.6,0.8,0.6,0.63,0.6,0.4,0.4,0,0,1,0.8,0,0,0.8,0.6,0.8,1,1,0.8,1,1,0
Ocean,male,54+,74,married,1,high_school,wont_say,South,South_Atlantic,Rural,2,Right,None,0,0,0,3,0.2,0.7,1,0.6,0.7,0.2,0.2,0.8,0,0,0.6,0.4,0,0,0.6,1,1,0.8,0.4,1,0,0,0
Ocean,female,35 - 44,44,single,3,high_school,low,South,South_Atlantic,Suburban,2,wont_say,None,0,0,0,1,0.6,1,1,0.8,0.9,0.4,0.4,1,0,0,0.8,1,0,1,1,0.6,1,1,1,0.8,0,1,0
Ocean,female,54+,72,married,1,postgraduate,middle,South,South_Atlantic,Suburban,5,Left,Fish,1,0,0,1,0.5,1,1,0.93,0.97,0.4,0.4,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ocean,female,25 - 34,30,married,0,university,middle,Northeast,Middle_Atlantic,Suburban,1,Left,Both,1,1,0,6,0.95,1,0.6,0.8,0.83,0.4,0.4,0.8,1,0,0.8,1,0,0,0.8,0.6,0.8,0.8,1,0.4,1,1,1
Ocean,male,54+,71,married,1,postgraduate,high,South,South_Atlantic,Suburban,5,Moderate,Fish,1,0,0,4,0.8,1,1,0.8,0.9,0.4,0.4,0.8,0,0,0.8,0.6,0,1,1,1,0.8,0.8,0.8,1,1,1,0
Ocean,female,54+,90,divorced,0,high_school,low,South,West_South_Central,Urban,4,Left,None,0,0,1,0,0.4,0.8,0.6,0.73,0.73,0.6,0.6,0.8,0,0,0.8,0.8,1,1,1,0.8,1,1,1,0.8,1,1,1
Ocean,female,18 - 24,23,single,0,university,low,Midwest,East_North_Central,Suburban,1,Moderate,None,0,0,0,1,1,1,1,1,1,0.2,0.2,1,1,1,0.6,0.8,0,0,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1
Ocean,male,54+,65,married,1,university,low,West,Mountain,Urban,5,Right,Hunt,0,1,0,3,0.1,0.8,0.8,0.73,0.77,0.8,0.8,0.8,0,0,0.6,0.6,0,0,0.6,0.8,0.8,0.8,0.8,0.8,1,0,0
Ocean,male,54+,74,divorced,0,postgraduate,low,South,South_Atlantic,Urban,1,Right,None,0,0,0,2,0.15,0.5,0.8,0.73,0.67,0.4,0.4,0.8,1,0,0.6,0.8,1,0,0.8,1,0.6,1,0.4,0.8,0,0,0
Ocean,female,35 - 44,41,married,1,university,middle,Midwest,East_North_Central,Rural,5,Left,None,0,0,0,2,1,1,1,1,1,0.4,0.4,0.8,1,1,0.6,0.8,1,1,1,1,1,1,1,1,1,1,1
Ocean,male,54+,60,single,0,university,middle,Northeast,Middle_Atlantic,Urban,0,Left,Fish,1,0,0,5,1,1,1,1,1,0.2,0.2,1,1,1,0.6,0.8,1,0,1,1,1,1,1,1,1,1,0
Ocean,female,35 - 44,44,married,3,vocational_technical_college,middle,South,South_Atlantic,Rural,2,Right,None,0,0,0,2,0.05,0.8,0.6,0.53,0.63,0.4,0.6,0.8,0,0,0.8,0.8,1,0,0.8,0.8,0.8,1,1,0.6,0,0,0
Ocean,male,54+,61,separated,0,university,high,South,West_South_Central,Urban,4,Left,None,0,0,0,2,0.5,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0,0,0.6,0.6,0,0,0.8,0.6,0.6,0.8,0.8,0.6,0,0,1
Ocean,female,54+,78,widowed,0,university,low,West,Mountain,Suburban,5,Left,None,0,0,1,0,0.7,1,1,0.93,0.97,0.2,0.2,1,0,0,0.6,0.8,0,1,1,1,1,1,1,1,1,1,0
Ocean,male,45 - 54,54,single,0,university,low,South,South_Atlantic,Rural,1,Moderate,Fish,1,0,0,1,0.2,0.4,0.6,0.67,0.57,0.6,0.6,0.6,0,0,0.4,0.8,0,0,1,0.6,0.8,0.8,0.8,0.8,1,0,0
Ocean,male,18 - 24,26,married,1,postgraduate,high,West,Mountain,Suburban,2,Left,None,0,0,0,2,0.8,1,0.6,0.73,0.8,0.4,0.2,1,1,1,1,1,1,1,1,0.8,0.8,1,1,1,1,1,1
Ocean,female,54+,58,divorced,0,high_school,low,South,South_Atlantic,Suburban,5,Right,None,0,0,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.6,0.6,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0
