survey,ID,Q8Cons_need,Q8Cons_need_score,Q21Funds_source,Q21Funds_score,Q14Actions,Q14Actions_score,Q10_animal_health,Q11_habitat_health,Q13_total_health
Ocean,185975383,coast,4,InvestGovRegs,1,Recycle,1,3,3,4
Ocean,-996306879,coast,4,InvestGovRegs,1,Recycle,1,3,2,4
Ocean,-1329964151,coast,3,InvestGovRegs,0,Recycle,1,1,2,3
Ocean,-1654638838,coast,4,InvestGovRegs,1,Recycle,1,3,3,3
Ocean,-1323315555,coast,3,InvestGovRegs,0,Recycle,1,1,1,4
Ocean,-1651705586,coast,5,InvestGovRegs,1,Recycle,0,2,2,4
Ocean,-1347589287,coast,2,InvestGovRegs,0,Recycle,1,3,3,3
Ocean,-399660770,coast,4,InvestGovRegs,0,Recycle,1,3,2,4
Ocean,459671628,coast,5,InvestGovRegs,0,Recycle,0,2,2,5
Ocean,-21277622,coast,4,InvestGovRegs,1,Recycle,1,2,2,5
Ocean,1652057839,coast,5,InvestGovRegs,1,Recycle,1,3,3,4
Ocean,45723337,coast,4,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,1448536940,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,1679403667,coast,4,InvestGovRegs,0,Recycle,1,1,1,3
Ocean,-108147171,coast,3,InvestGovRegs,0,Recycle,0,3,3,3
Ocean,97320809,coast,1,InvestGovRegs,1,Recycle,1,5,3,1
Ocean,-1101731193,coast,4,InvestGovRegs,0,Recycle,1,3,3,3
Ocean,-689735019,coast,5,InvestGovRegs,1,Recycle,1,3,3,5
Ocean,-689578947,coast,4,InvestGovRegs,0,Recycle,1,2,2,4
Ocean,1375559994,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,-409639973,coast,5,InvestGovRegs,1,Recycle,1,2,1,5
Ocean,-1779445917,coast,3,InvestGovRegs,0,Recycle,0,3,3,3
Ocean,-1407172092,coast,5,InvestGovRegs,0,Recycle,1,2,2,5
Ocean,-12308067,coast,5,InvestGovRegs,1,Recycle,1,2,2,5
Ocean,997321997,coast,4,InvestGovRegs,1,Recycle,1,3,3,3
Ocean,-87766929,coast,3,InvestGovRegs,0,Recycle,1,2,2,4
Ocean,1100109299,coast,3,InvestGovRegs,0,Recycle,1,3,3,4
Ocean,-344383483,coast,3,InvestGovRegs,0,Recycle,0,1,1,5
Ocean,-471727689,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,-1943114954,coast,5,InvestGovRegs,1,Recycle,1,4,4,4
Ocean,-1145172827,coast,5,InvestGovRegs,0,Recycle,0,2,5,4
Ocean,1350332551,coast,5,InvestGovRegs,1,Recycle,1,2,1,5
Ocean,1242127245,coast,4,InvestGovRegs,0,Recycle,0,3,2,4
Ocean,-26353552,coast,3,InvestGovRegs,0,Recycle,1,3,3,4
Ocean,-708219958,coast,3,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,325437995,coast,3,InvestGovRegs,1,Recycle,1,4,5,4
Ocean,-143029467,coast,3,InvestGovRegs,1,Recycle,1,3,2,2
Ocean,1813883150,coast,2,InvestGovRegs,0,Recycle,1,1,1,4
Ocean,330135079,coast,5,InvestGovRegs,0,Recycle,1,2,2,5
Ocean,211396604,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,-1861534982,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,-2119652306,coast,5,InvestGovRegs,0,Recycle,1,2,2,4
Ocean,563569870,coast,4,InvestGovRegs,1,Recycle,1,3,3,4
Ocean,-206564292,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,1347946127,coast,4,InvestGovRegs,0,Recycle,1,4,4,4
Ocean,1817928665,coast,3,InvestGovRegs,0,Recycle,1,2,2,4
Ocean,-1569348475,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,-1182899832,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,1786718786,coast,4,InvestGovRegs,0,Recycle,1,2,3,4
Ocean,-2014555660,coast,4,InvestGovRegs,0,Recycle,0,3,3,4
Ocean,1317457998,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,-2033166547,coast,2,InvestGovRegs,1,Recycle,0,3,3,3
Ocean,653901660,coast,5,InvestGovRegs,1,Recycle,1,2,1,5
Ocean,-237915443,coast,3,InvestGovRegs,0,Recycle,0,3,3,3
Ocean,-1868332242,coast,5,InvestGovRegs,1,Recycle,1,2,2,2
Ocean,361674297,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,1327792838,coast,4,InvestGovRegs,0,Recycle,0,3,3,4
Ocean,-328637775,coast,4,InvestGovRegs,0,Recycle,1,3,3,3
Ocean,373469505,coast,4,InvestGovRegs,0,Recycle,1,3,3,3
Ocean,1154134966,coast,3,InvestGovRegs,0,Recycle,0,3,3,3
Ocean,-521288434,coast,5,InvestGovRegs,0,Recycle,1,1,5,5
Ocean,-2088330672,coast,3,InvestGovRegs,0,Recycle,1,2,3,3
Ocean,715721525,coast,2,InvestGovRegs,0,Recycle,0,5,3,1
Ocean,1361899604,coast,4,InvestGovRegs,0,Recycle,0,3,3,3
Ocean,440513853,coast,4,InvestGovRegs,0,Recycle,0,2,2,5
Ocean,-2072399444,coast,5,InvestGovRegs,0,Recycle,1,2,2,3
Ocean,-291517700,coast,3,InvestGovRegs,0,Recycle,1,2,2,4
Ocean,476664114,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,-1443870768,coast,4,InvestGovRegs,0,Recycle,1,4,3,4
Ocean,1544010666,coast,4,InvestGovRegs,1,Recycle,1,2,3,5
Ocean,-533842386,coast,3,InvestGovRegs,1,Recycle,0,5,5,5
Ocean,1755332815,coast,3,InvestGovRegs,0,Recycle,1,3,3,4
Ocean,1688651668,coast,4,InvestGovRegs,0,Recycle,1,4,4,3
Ocean,1396923900,coast,3,InvestGovRegs,1,Recycle,1,2,2,5
Ocean,-1711227750,coast,3,InvestGovRegs,0,Recycle,1,4,4,4
Ocean,395563125,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,-812397487,coast,5,InvestGovRegs,1,Recycle,1,4,2,5
Ocean,998005048,coast,3,InvestGovRegs,1,Recycle,0,2,2,4
Ocean,1061047043,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,80884049,coast,3,InvestGovRegs,1,Recycle,0,3,3,3
Ocean,-1404715317,coast,5,InvestGovRegs,1,Recycle,1,1,1,5
Ocean,-1702609130,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,1752264199,coast,5,InvestGovRegs,0,Recycle,1,2,2,1
Ocean,1683101967,coast,5,InvestGovRegs,0,Recycle,0,4,4,4
Ocean,-1534072395,coast,4,InvestGovRegs,0,Recycle,0,3,3,4
Ocean,-1036460565,coast,3,InvestGovRegs,0,Recycle,0,3,3,4
Ocean,-1740703411,coast,3,InvestGovRegs,1,Recycle,1,3,3,3
Ocean,-782001234,coast,5,InvestGovRegs,0,Recycle,1,3,3,4
Ocean,-1061069144,coast,2,InvestGovRegs,1,Recycle,1,3,3,3
Ocean,1034644820,coast,3,InvestGovRegs,0,Recycle,0,3,2,4
Ocean,-267997551,coast,5,InvestGovRegs,1,Recycle,1,2,2,4
Ocean,270914866,coast,3,InvestGovRegs,0,Recycle,0,3,3,3
Ocean,-2000839791,coast,4,InvestGovRegs,0,Recycle,1,3,3,4
Ocean,1633096996,coast,4,InvestGovRegs,1,Recycle,1,4,4,4
Ocean,1638524636,coast,1,InvestGovRegs,0,Recycle,1,1,2,1
Ocean,1639714256,coast,4,InvestGovRegs,0,Recycle,0,2,2,4
Ocean,-1334049744,coast,4,InvestGovRegs,0,Recycle,1,4,2,5
Ocean,1459241213,coast,3,InvestGovRegs,0,Recycle,0,3,3,1
Ocean,553676141,coast,3,InvestGovRegs,1,Recycle,1,3,3,4
Ocean,-1424007651,coast,4,InvestGovRegs,0,Recycle,1,3,3,1
Ocean,-1613116052,coast,4,InvestGovRegs,0,Recycle,0,2,3,4
Ocean,-1907090290,coast,2,InvestGovRegs,0,Recycle,1,4,4,3
Ocean,39050076,coast,3,InvestGovRegs,1,Recycle,1,3,2,4
Ocean,-547758485,coast,3,InvestGovRegs,0,Recycle,0,3,3,3
