survey,id,state,city,gender,age,marital_status,no_kids,education,employment ,career,race,income,US_census_region,US_census_division,community,distance_from_coast,political,poltical2,Q4_fishing,Q4_hunting,Q4_fish_hunt,Q6_overfish_deforest,Q6_melt_extremes,Q6_plastic_waste,Q6_oil_toxics,Q6_oa_soil,Q6_none,Q6_total_awareness,Q7_overfish_deforest,Q7_melt_extremes,Q7_plastic_waste,Q7_oil_toxics,Q7_oa_soil,Q7_none,Q8_coast,Q8_ocean,Q8_fw,Q8_forest,Q8.5_plains,Q8_mountains,Q9_percent,Q10_animal_health,Q11_habitat_health,Q13_concern_fish,Q19_scenario_effective,Q20_protected_area,Q20_captive_breed,Q20_relocate,Q20_regulations,Q20_education,Q20_supplament,Q21_invest_govregs,Q21.2_partnerships,Q21_donate_ngo,Q21_market,Q21_programs,Q21_penalties,Q21_none,Q21_total_funds,,,,
Ocean,185975383,Ohio,Cuyahoga Falls,female,25 - 34,living_with_partner,zero,university,self_employed,arts_entertainment_or_recreation,white,lower_ii,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,Yes,Yes,Both,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.6,1,0.6,0.4,0.6,55,0.6,0.6,0.8,0.8,1,0.8,1,1,1,0.8,1,0,0,0,1,1,0,3,,,,
Ocean,-996306879,Ohio,Lima,female,25 - 34,married,three,university,employed_for_wages,scientific_or_technical_services,white,middle_ii,Midwest,East North Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,Yes,No,Fish,1,1,1,1,0,0,0.8,1,1,1,1,0,0,0.8,0.6,0.8,0.8,0.6,0.6,50,0.6,0.4,0.8,0.8,1,0.8,0.6,0.8,1,0.8,1,1,0,1,0,1,0,4,,,,
Ocean,-1329964151,North Carolina,Asheboro,female,35 - 44,single,zero,high_school,unable_to_work,other,white,lower_i,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,No,No,None,0,0,0,0,1,0,0.2,0,0,0,0,0.5,0,0.6,0.8,0.8,0.8,0.4,0.6,75,0.2,0.4,0.6,0.2,0.6,0.4,0.2,0.6,0.2,0.8,0,0,1,0,1,0,0,2,,,,
Ocean,-1654638838,Pennsylvania,Philadelphia,male,35 - 44,married,one,postgraduate,employed_for_wages,education,white,middle_ii,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,Lean Right (Republican) ,Right,No,No,None,1,1,1,1,0,0,0.8,1,0.5,1,0.5,0,0,0.8,0.6,0.8,0.8,0.6,0.6,40,0.6,0.6,0.6,0.8,0.8,1,0.6,1,0.8,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,-1323315555,Oklahoma,Unknown,female,25 - 34,living_with_partner,zero,high_school,employed_for_wages,government_and_public_administration,white,lower_ii,South,West South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,I prefer not to say,Wont say,Yes,No,Fish,1,0,1,1,0,0,0.6,1,0,1,1,0,0,0.6,0.6,0.6,0.8,0.4,0.4,50,0.2,0.2,0.8,1,1,0.8,0.8,1,1,1,0,1,0,1,0,1,0,3,,,,
Ocean,-1651705586,South Carolina,Greenville,female,35 - 44,separated,one,vocational_technical_college,self_employed,other,white,lower_ii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,No,Fish,0,0,1,1,1,0,0.6,0,0,1,1,0.5,0,1,1,1,1,1,1,50,0.4,0.4,0.8,1,1,1,1,1,1,0.8,1,1,1,0,1,1,0,5,,,,
Ocean,-1347589287,Minnesota,Saint Paul,female,45 - 54,single,zero,vocational_technical_college,employed_for_wages,other,white,lower_i,Midwest,West North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,I don’t follow politics,None,Yes,No,Fish,0,0,0,1,0,0,0.2,0,0,0,0.5,0,0,0.4,0.4,0.4,0.4,0.4,0.4,75,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,1,1,0,2,,,,
Ocean,-399660770,Arizona,Phoenix,female,35 - 44,prefer_not_to_say,prefer_not_to_say,postgraduate,employed_for_wages,education,white,prefer_not_to_say,West,Mountain,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,I prefer not to say,Wont say,No,No,None,1,1,1,1,0,0,0.8,1,1,1,1,0,0,0.8,0.8,1,1,0.8,0.8,65,0.6,0.4,0.8,0.8,0.8,0.6,0.6,1,1,0.8,0,1,1,0,1,1,0,4,,,,
Ocean,459671628,Kentucky,Shelbiana,female,35 - 44,single,one,vocational_technical_college,self_employed,other,white,lower_ii,South,East South Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,No,No,None,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,80,0.4,0.4,1,1,1,1,0.8,0.8,1,0.8,0,1,0,0,0,0,0,1,,,,
Ocean,-21277622,Illinois,Unknown,female,25 - 34,married,zero,postgraduate,employed_for_wages,health_care_and_social_assistance,white,high_iii,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,No,No,None,1,1,1,1,0,0,0.8,1,1,1,1,0,0,0.8,1,1,1,0.8,0.8,35,0.4,0.4,1,0.8,1,0.8,1,1,1,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,1652057839,Washington,Spokane,female,54+,living_with_partner,zero,high_school,other,other,white,lower_i,West,Pacific,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,No,No,None,0,1,1,1,0,0,0.6,0,1,1,1,0,0,1,1,1,1,1,0.8,50,0.6,0.6,0.8,0.4,1,0.8,0.6,0.8,1,1,1,0,0,0,1,1,0,3,,,,
Ocean,45723337,Pennsylvania,Butler,male,35 - 44,divorced,two,vocational_technical_college,employed_for_wages,manufacturing_computer_and_electronics,white,lower_ii,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,Yes,No,Fish,1,1,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0,0.8,0.8,0.8,0.8,0.8,0.8,50,0.4,0.4,0.8,0.2,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,1448536940,Florida,Jacksonville,male,25 - 34,single,five,high_school,employed_for_wages,construction,black,lower_ii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Strong Right,Right,Yes,Yes,Both,1,1,1,1,1,0,1,0.75,1,1,0.5,1,0,1,1,1,1,1,1,50,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,1679403667,New York,Potsdam,female,45 - 54,living_with_partner,four,vocational_technical_college,unable_to_work,homemaker,white,lower_i,Northeast,Middle Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,Yes,No,Fish,0,0,1,1,1,0,0.6,0,0,0.5,0.5,0.75,0,0.8,1,0.8,0.8,1,0.6,45,0.2,0.2,0.6,1,1,1,1,1,0.8,1,0,1,0,0,0,0,0,1,,,,
Ocean,-108147171,Utah,Salt Lake City,female,45 - 54,separated,four,high_school,employed_for_wages,hotel_and_food_services,hispanic,lower_ii,West,Mountain,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,No,No,None,0,1,0,0,0,0,0.2,0,1,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,50,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,1,0,,,,
Ocean,97320809,Kansas,Emporia,female,18 - 24,married,prefer_not_to_say,postgraduate,homemaker,other,white,high_ii,Midwest,West North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,Yes,Yes,Both,0,0,1,1,1,0,0.6,0,0,0.25,0.25,0.25,0,0.2,0.8,0.6,0.2,0.6,0.8,100,1,0.6,0.2,0.4,0.4,0.4,0.2,0.6,1,0.2,1,1,1,1,0,1,0,5,,,,
Ocean,-1101731193,Florida,Unknown,female,18 - 24,single,zero,university,homemaker,other,black,lower_ii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,Yes,Both,1,1,1,1,1,0,1,0.5,0.5,0.75,1,0.75,0,0.8,0.8,0.8,0.8,1,0.8,60,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0,0,0,1,1,0,0,2,,,,
Ocean,-689735019,Florida,Lake Worth,female,35 - 44,married,two,vocational_technical_college,self_employed,other,multiracial,middle_ii,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",Less than 1-hour drive away / 10 - 59 miles away,Lean Left (Democrat),Left,Yes,No,Fish,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,100,0.6,0.6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,5,,,,
Ocean,-689578947,Virginia,Alexandria,female,54+,divorced,four,university,employed_for_wages,retail,white,lower_i,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Lean Right (Republican) ,Right,Yes,No,Fish,0,0,1,1,0,0,0.4,0,0,1,1,0,0,0.8,0.8,0.6,0.6,0.4,0.4,70,0.4,0.4,0.8,1,1,1,1,1,1,0.6,0,1,1,0,0,1,0,3,,,,
Ocean,1375559994,California,Granada Hills,female,35 - 44,living_with_partner,one,university,self_employed,marketing_sales,hispanic,middle_ii,West,Pacific,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,Less than 1-hour drive away / 10 - 59 miles away,Strong Left,Left,No,No,None,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,50,0.2,0.2,1,1,1,1,1,1,1,0.2,1,1,1,1,1,1,0,6,,,,
Ocean,-409639973,Florida,Venice,female,54+,married,one,postgraduate,employed_for_wages,health_care_and_social_assistance,white,high_iii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,I live very close to the coast. It’s a short drive away,Strong Left,Left,No,No,None,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,50,0.4,0.2,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,0,6,,,,
Ocean,-1779445917,California,Los Angeles,female,18 - 24,single,zero,vocational_technical_college,self_employed,education,other,middle_i,West,Pacific,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Moderate,Moderate,No,No,None,0,1,1,0,0,0,0.4,0,0.5,0.5,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,1,0,0,0,1,,,,
Ocean,-1407172092,Maryland,Essex,male,18 - 24,single,zero,high_school,employed_for_wages,hotel_and_food_services,black,lower_i,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,Yes,No,Fish,1,1,1,1,1,0,1,1,0.5,1,0.5,0.5,0,1,0.6,1,1,1,0.8,50,0.4,0.4,1,0.6,1,0.4,1,1,1,0.8,0,1,0,0,1,1,0,3,,,,
Ocean,-12308067,Michigan,Ann Arbor,female,25 - 34,single,zero,university,employed_for_wages,scientific_or_technical_services,white,lower_ii,Midwest,East North Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,No,Fish,1,1,1,1,1,0,1,0.5,1,0.5,0.5,0.5,0,1,0.8,1,0.8,0.8,0.8,50,0.4,0.4,1,1,1,1,0.8,1,1,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,997321997,California,North Hollywood,male,18 - 24,single,zero,high_school,employed_for_wages,retail,white,high_ii,West,Pacific,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Lean Right (Republican) ,Right,Yes,No,Fish,1,1,1,1,0,0,0.8,0.5,0.5,0.5,0.5,0,0,0.8,0.8,0.8,0.8,0.8,0.8,65,0.6,0.6,0.6,0.8,1,0.8,0.6,0.8,0.8,1,1,1,1,0,0,0,0,3,,,,
Ocean,-87766929,New Jersey,Runnemede,female,54+,single,zero,postgraduate,employed_for_wages,finance_and_insurance,white,middle_ii,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,I live very close to the coast. It’s a short drive away,Moderate,Moderate,No,No,None,0,0,1,0,0,0,0.2,0,0,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,25,0.4,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,1,0,0,0,0,1,,,,
Ocean,1100109299,Pennsylvania,Erie,male,45 - 54,married,zero,high_school,self_employed,other,white,middle_i,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Lean Right (Republican) ,Right,No,No,None,1,1,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0,0.6,0.6,0.6,0.6,0.6,0.2,50,0.6,0.6,0.8,0.6,1,1,1,1,1,1,0,0,0,0,0,1,0,1,,,,
Ocean,-344383483,Ohio,Port Clinton,female,18 - 24,living_with_partner,one,university,employed_for_wages,personal_services,white,lower_i,Midwest,East North Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,No,No,None,1,1,1,1,1,0,1,0.5,0.75,0.5,0.5,0.5,0,0.6,0.8,1,0.8,0.6,0.6,50,0.2,0.2,1,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0,0,1,0,1,1,0,3,,,,
Ocean,-471727689,Wisconsin,Oconomowoc,female,18 - 24,living_with_partner,zero,high_school,unemployed_not_looking,other,multiracial,prefer_not_to_say,Midwest,East North Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,No,No,None,0,1,1,0,0,0,0.4,0,0.5,0.5,0,0,0,1,0.6,1,0.4,0.8,0.6,50,0.2,0.2,1,1,1,0.8,1,1,0.8,0.6,1,0,0,0,0,0,0,1,,,,
Ocean,-1943114954,Pennsylvania,Pittsburgh,male,25 - 34,single,zero,postgraduate,employed_for_wages,manufacturing_other,white,high_i,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Strong Left,Left,No,No,None,1,1,1,1,1,0,1,1,0.5,1,1,1,0,1,1,1,1,1,0.6,70,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0.8,1,0,0,0,1,1,0,3,,,,
Ocean,-1145172827,Massachusetts,Lowell,male,18 - 24,living_with_partner,three,vocational_technical_college,student,marketing_sales,black,high_ii,Northeast,New England,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,I prefer not to say,Wont say,No,No,None,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.8,0.6,0.4,0.2,50,0.4,1,0.8,0.6,0.6,0.6,1,1,1,1,0,1,0,0,0,0,0,1,,,,
Ocean,1350332551,Mississippi,Ridgeland,male,35 - 44,married,two,postgraduate,employed_for_wages,information_services_and_data,white,high_iii,South,East South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",Less than 1-hour drive away / 10 - 59 miles away,Strong Left,Left,Yes,Yes,Both,1,1,1,1,1,0,1,0.5,0.5,0.75,0.5,0.5,0,1,0.8,1,1,1,0.6,50,0.4,0.2,1,0.8,0.8,1,1,1,1,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,1242127245,New Jersey,Madison,female,54+,single,zero,high_school,employed_for_wages,software,white,lower_i,Northeast,Middle Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",Less than 1-hour drive away / 10 - 59 miles away,I don’t follow politics,None,No,No,None,0,0,1,1,0,0,0.4,0,0,0.5,0.5,0,0,0.8,0.8,0.8,0.4,0.4,0.8,55,0.6,0.4,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0,1,1,0,0,0,0,2,,,,
Ocean,-26353552,West Virginia,Weirton,female,45 - 54,married,two,university,unable_to_work,homemaker,white,lower_ii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,I don’t follow politics,None,No,No,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,35,0.6,0.6,0.8,0.6,1,0.6,0.6,0.8,0.8,0.6,0,1,1,0,1,0,0,3,,,,
Ocean,-708219958,Texas,Midland,female,54+,divorced,zero,university,employed_for_wages,education,white,middle_i,South,West South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,I prefer not to say,Wont say,No,No,None,0,0,1,1,0,0,0.4,0,0,0.5,0.5,0,0,0.6,0.8,0.6,1,0.8,0.4,50,0.4,0.4,0.8,0.8,0.8,0.8,1,1,0.4,0.6,1,1,1,1,1,1,0,6,,,,
Ocean,325437995,New York,New York,male,35 - 44,married,four,university,self_employed,manufacturing_computer_and_electronics,white,middle_i,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Moderate,Moderate,Yes,Yes,Both,1,1,1,1,1,0,1,1,0.75,0.75,0.5,0.75,0,0.6,0.8,0.6,0.6,0.6,0.8,50,0.8,1,0.8,0.8,0.8,0.8,0.6,0.8,1,0.6,1,1,1,1,1,1,0,6,,,,
